strain	Line	N_generation	N_pSTR	mutation	N_mutation	mutation_rate
N2	502	239	18786	deletions	73	8.12944028914971e-06
N2	502	239	18786	insertions	68	7.57262931044083e-06
N2	502	239	18786	substitutions	439	4.88880039306401e-05
N2	503	236	18524	deletions	75	8.57796939563516e-06
N2	503	236	18524	insertions	54	6.17613796485732e-06
N2	503	236	18524	substitutions	394	4.50629325584034e-05
N2	504	212	20107	deletions	113	1.32545598031663e-05
N2	504	212	20107	insertions	46	5.39566151279335e-06
N2	504	212	20107	substitutions	724	8.4923020331791e-05
N2	505	235	18349	deletions	118	1.36826982280906e-05
N2	505	235	18349	insertions	111	1.28710127399835e-05
N2	505	235	18349	substitutions	512	5.93689957015456e-05
N2	508	214	19718	deletions	134	1.58780866289448e-05
N2	508	214	19718	insertions	48	5.68767282230857e-06
N2	508	214	19718	substitutions	630	7.46507057928e-05
N2	509	243	17937	deletions	68	7.80050707884546e-06
N2	509	243	17937	insertions	73	8.37407377581939e-06
N2	509	243	17937	substitutions	457	5.24239961034173e-05
N2	511	229	16429	deletions	54	7.17657374952854e-06
N2	511	229	16429	insertions	69	9.17006645773091e-06
N2	511	229	16429	substitutions	388	5.15650113855014e-05
N2	512	230	17809	deletions	291	3.55218538745676e-05
N2	512	230	17809	insertions	326	3.97942417976255e-05
N2	512	230	17809	substitutions	425	5.18789962085609e-05
N2	513	242	18446	deletions	142	1.59052602055766e-05
N2	513	242	18446	insertions	161	1.80334288246326e-05
N2	513	242	18446	substitutions	509	5.7012517215764e-05
N2	514	241	18605	deletions	62	6.9137707817356e-06
N2	514	241	18605	insertions	63	7.02528321369908e-06
N2	514	241	18605	substitutions	439	4.89539576319666e-05
N2	516	218	18898	deletions	57	6.9178719946094e-06
N2	516	218	18898	insertions	51	6.18967494254525e-06
N2	516	218	18898	substitutions	353	4.28422598964407e-05
N2	520	244	18430	deletions	143	1.58997713990909e-05
N2	520	244	18430	insertions	103	1.14522828958487e-05
N2	520	244	18430	substitutions	533	5.92627843057026e-05
N2	522	234	18925	deletions	151	1.70488545653671e-05
N2	522	234	18925	insertions	62	7.00019194074676e-06
N2	522	234	18925	substitutions	499	5.63402544908489e-05
N2	523	243	16598	deletions	289	3.5826618011888e-05
N2	523	243	16598	insertions	322	3.99175467122074e-05
N2	523	243	16598	substitutions	328	4.06613519304473e-05
N2	524	234	18191	deletions	204	2.39622580340518e-05
N2	524	234	18191	insertions	221	2.59591128702228e-05
N2	524	234	18191	substitutions	501	5.88484866424507e-05
N2	525	224	18860	deletions	73	8.63978942584457e-06
N2	525	224	18860	insertions	51	6.03601727011059e-06
N2	525	224	18860	substitutions	407	4.81697848810786e-05
N2	526	236	17983	deletions	245	2.88643605966841e-05
N2	526	236	17983	insertions	275	3.23987720983188e-05
N2	526	236	17983	substitutions	443	5.21914765074736e-05
N2	529	243	18881	deletions	80	8.71823809639015e-06
N2	529	243	18881	insertions	80	8.71823809639015e-06
N2	529	243	18881	substitutions	388	4.22834547674922e-05
N2	530	243	18861	deletions	57	6.21833151038036e-06
N2	530	243	18861	insertions	41	4.47283494606307e-06
N2	530	243	18861	substitutions	262	2.85825062406957e-05
N2	531	233	19122	deletions	70	7.85559001541042e-06
N2	531	233	19122	insertions	52	5.83558115430489e-06
N2	531	233	19122	substitutions	627	7.03636419951762e-05
N2	532	244	20233	deletions	63	6.38058422654761e-06
N2	532	244	20233	insertions	47	4.76011839123393e-06
N2	532	244	20233	substitutions	778	7.87951512421276e-05
N2	536	238	18475	deletions	95	1.08026972629377e-05
N2	536	238	18475	insertions	94	1.06889846601699e-05
N2	536	238	18475	substitutions	533	6.06088172752186e-05
N2	537	243	18945	deletions	141	1.53139855787872e-05
N2	537	243	18945	insertions	75	8.14573700999319e-06
N2	537	243	18945	substitutions	522	5.66943295895526e-05
N2	540	194	18205	deletions	149	2.10942388660643e-05
N2	540	194	18205	insertions	171	2.42088244704497e-05
N2	540	194	18205	substitutions	472	6.68220184213581e-05
N2	541	238	17879	deletions	247	2.90232990114218e-05
N2	541	238	17879	insertions	280	3.29009057619356e-05
N2	541	238	17879	substitutions	458	5.38164815677376e-05
N2	542	243	19071	deletions	115	1.24076091659217e-05
N2	542	243	19071	insertions	99	1.06813331080543e-05
N2	542	243	19071	substitutions	577	6.22538303368418e-05
N2	543	243	18388	deletions	168	1.87991631686795e-05
N2	543	243	18388	insertions	196	2.19323570301261e-05
N2	543	243	18388	substitutions	484	5.41594938907196e-05
N2	544	241	18415	deletions	161	1.81387399546869e-05
N2	544	241	18415	insertions	163	1.8364065916857e-05
N2	544	241	18415	substitutions	499	5.6218827561421e-05
N2	545	244	17958	deletions	157	1.79152083458854e-05
N2	545	244	17958	insertions	191	2.17949349940389e-05
N2	545	244	17958	substitutions	462	5.27186385719685e-05
N2	546	242	18393	deletions	97	1.08961682781763e-05
N2	546	242	18393	insertions	97	1.08961682781763e-05
N2	546	242	18393	substitutions	539	6.05467495045052e-05
N2	547	242	19903	deletions	132	1.37028223246381e-05
N2	547	242	19903	insertions	42	4.35998892147577e-06
N2	547	242	19903	substitutions	725	7.52617135254746e-05
N2	548	186	18690	deletions	70	1.00680600861826e-05
N2	548	186	18690	insertions	50	7.19147149013042e-06
N2	548	186	18690	substitutions	382	5.49428421845964e-05
N2	550	227	19406	deletions	109	1.23718492078157e-05
N2	550	227	19406	insertions	41	4.65363135339858e-06
N2	550	227	19406	substitutions	596	6.76479094298916e-05
N2	551	243	18814	deletions	87	9.51484775587394e-06
N2	551	243	18814	insertions	70	7.65562463116294e-06
N2	551	243	18814	substitutions	561	6.1354363115463e-05
N2	552	241	18713	deletions	62	6.8738687219682e-06
N2	552	241	18713	insertions	53	5.87604906877927e-06
N2	552	241	18713	substitutions	427	4.73409991012971e-05
N2	553	232	18678	deletions	107	1.23462602139342e-05
N2	553	232	18678	insertions	119	1.37308875276464e-05
N2	553	232	18678	substitutions	514	5.93082032706743e-05
N2	554	237	18370	deletions	140	1.60783151763217e-05
N2	554	237	18370	insertions	154	1.76861466939539e-05
N2	554	237	18370	substitutions	509	5.84561601767696e-05
N2	555	243	18847	deletions	69	7.53304550549028e-06
N2	555	243	18847	insertions	60	6.55047435260024e-06
N2	555	243	18847	substitutions	391	4.26872578644449e-05
N2	556	244	18881	deletions	63	6.83747474475598e-06
N2	556	244	18881	insertions	60	6.51188070929141e-06
N2	556	244	18881	substitutions	436	4.73196664875176e-05
N2	558	234	18895	deletions	58	6.5589639551005e-06
N2	558	234	18895	insertions	60	6.78513512596603e-06
N2	558	234	18895	substitutions	336	3.79967567054098e-05
N2	563	237	18849	deletions	55	6.15596346088713e-06
N2	563	237	18849	insertions	48	5.37247720222877e-06
N2	563	237	18849	substitutions	354	3.96220193664372e-05
N2	565	238	18966	deletions	78	8.63996341972411e-06
N2	565	238	18966	insertions	65	7.19996951643676e-06
N2	565	238	18966	substitutions	596	6.60181820276355e-05
N2	566	244	18372	deletions	149	1.66191959967591e-05
N2	566	244	18372	insertions	55	6.13460254913928e-06
N2	566	244	18372	substitutions	436	4.86306674804496e-05
N2	567	226	18271	deletions	181	2.1916834211379e-05
N2	567	226	18271	insertions	208	2.51861962208113e-05
N2	567	226	18271	substitutions	495	5.99383035062576e-05
N2	569	238	18868	deletions	58	6.45795736144786e-06
N2	569	238	18868	insertions	56	6.23526917657035e-06
N2	569	238	18868	substitutions	421	4.68758629167164e-05
N2	572	212	18057	deletions	80	1.04490915037392e-05
N2	572	212	18057	insertions	55	7.1837504088207e-06
N2	572	212	18057	substitutions	438	5.72087759829722e-05
N2	573	243	18297	deletions	49	5.5103593631464e-06
N2	573	243	18297	insertions	45	5.060534109012e-06
N2	573	243	18297	substitutions	310	3.4861457195416e-05
N2	574	237	18564	deletions	98	1.11372039890283e-05
N2	574	237	18564	insertions	106	1.20463634983367e-05
N2	574	237	18564	substitutions	546	6.20501365103003e-05
N2	575	230	18342	deletions	56	6.63717863018115e-06
N2	575	230	18342	insertions	50	5.92605234837602e-06
N2	575	230	18342	substitutions	280	3.31858931509057e-05
N2	577	227	18232	deletions	179	2.1625336098799e-05
N2	577	227	18232	insertions	204	2.46456344366201e-05
N2	577	227	18232	substitutions	497	6.00435309558833e-05
N2	578	243	18486	deletions	118	1.31341747219228e-05
N2	578	243	18486	insertions	111	1.23550287638426e-05
N2	578	243	18486	substitutions	556	6.18864503846532e-05
N2	580	241	18637	deletions	100	1.11320963496298e-05
N2	580	241	18637	insertions	103	1.14660592401186e-05
N2	580	241	18637	substitutions	558	6.2117097630934e-05
N2	581	243	18259	deletions	145	1.63401012905975e-05
N2	581	243	18259	insertions	183	2.06223347322714e-05
N2	581	243	18259	substitutions	479	5.3978679435836e-05
N2	582	208	17162	deletions	249	3.48769194911836e-05
N2	582	208	17162	insertions	276	3.86587541348059e-05
N2	582	208	17162	substitutions	372	5.21052773121297e-05
N2	584	244	18825	deletions	102	1.11031284697276e-05
N2	584	244	18825	insertions	79	8.59948185400475e-06
N2	584	244	18825	substitutions	567	6.17203317876037e-05
N2	585	244	18910	deletions	97	1.0511395653267e-05
N2	585	244	18910	insertions	67	7.26044854400915e-06
N2	585	244	18910	substitutions	580	6.28516441123181e-05
N2	586	243	18330	deletions	146	1.63890628823647e-05
N2	586	243	18330	insertions	199	2.23385172163738e-05
N2	586	243	18330	substitutions	512	5.74739739436351e-05
N2	587	227	17516	deletions	184	2.31380648328577e-05
N2	587	227	17516	insertions	78	9.80852748349401e-06
N2	587	227	17516	substitutions	350	4.40126233233706e-05
N2	589	226	18307	deletions	158	1.90942001487897e-05
N2	589	226	18307	insertions	168	2.03026938290929e-05
N2	589	226	18307	substitutions	515	6.22374245356121e-05
N2	590	244	18737	deletions	66	7.21811931682469e-06
N2	590	244	18737	insertions	56	6.12446487488156e-06
N2	590	244	18737	substitutions	410	4.48398321196685e-05
N2	591	239	18535	deletions	116	1.30929497851515e-05
N2	591	239	18535	insertions	121	1.36573010689942e-05
N2	591	239	18535	substitutions	525	5.92568848034872e-05
N2	592	243	18627	deletions	60	6.62784077540435e-06
N2	592	243	18627	insertions	64	7.06969682709797e-06
N2	592	243	18627	substitutions	400	4.41856051693623e-05
N2	593	221	18299	deletions	163	2.01529198613578e-05
N2	593	221	18299	insertions	165	2.04001949516812e-05
N2	593	221	18299	substitutions	505	6.24369603066607e-05
N2	594	242	18415	deletions	151	1.69418121680359e-05
N2	594	242	18415	insertions	137	1.53710481259663e-05
N2	594	242	18415	substitutions	515	5.77816772618441e-05
N2	595	236	16279	deletions	85	1.10623960785498e-05
N2	595	236	16279	insertions	79	1.02815210612404e-05
N2	595	236	16279	substitutions	385	5.01061469440196e-05
N2	597	223	18773	deletions	94	1.12268860511674e-05
N2	597	223	18773	insertions	71	8.4798820173711e-06
N2	597	223	18773	substitutions	565	6.74807512649954e-05
N2	598	223	18237	deletions	160	1.96712394921771e-05
N2	598	223	18237	insertions	153	1.88106227643944e-05
N2	598	223	18237	substitutions	479	5.88907732297052e-05
PB306	402	232	15243	deletions	162	2.29048042402731e-05
PB306	402	232	15243	insertions	183	2.58739455306789e-05
PB306	402	232	15243	substitutions	366	5.17478910613577e-05
PB306	403	221	17909	deletions	125	1.57912462931628e-05
PB306	403	221	17909	insertions	69	8.71676795382589e-06
PB306	403	221	17909	substitutions	551	6.96078136602618e-05
PB306	405	219	17486	deletions	76	9.92313746626786e-06
PB306	405	219	17486	insertions	104	1.35790302169981e-05
PB306	405	219	17486	substitutions	461	6.0191662788809e-05
PB306	406	235	18079	deletions	115	1.35339814737447e-05
PB306	406	235	18079	insertions	74	8.70882286136613e-06
PB306	406	235	18079	substitutions	559	6.57869186419415e-05
PB306	407	224	18128	deletions	97	1.19438358971126e-05
PB306	407	224	18128	insertions	66	8.12673370319001e-06
PB306	407	224	18128	substitutions	421	5.18387104400454e-05
PB306	410	225	17746	deletions	128	1.60286512140451e-05
PB306	410	225	17746	insertions	105	1.31485029490214e-05
PB306	410	225	17746	substitutions	534	6.68695292835944e-05
PB306	414	240	17742	deletions	156	1.83181152068538e-05
PB306	414	240	17742	insertions	145	1.70264532371397e-05
PB306	414	240	17742	substitutions	528	6.19997745462744e-05
PB306	415	223	17776	deletions	97	1.2234967891408e-05
PB306	415	223	17776	insertions	91	1.14781657537951e-05
PB306	415	223	17776	substitutions	516	6.50849838347063e-05
PB306	416	231	17959	deletions	83	1.00035458351623e-05
PB306	416	231	17959	insertions	82	9.88302118654588e-06
PB306	416	231	17959	substitutions	394	4.74867115548668e-05
PB306	418	221	18058	deletions	89	1.11505961935623e-05
PB306	418	221	18058	insertions	76	9.52185742371614e-06
PB306	418	221	18058	substitutions	415	5.19943530373973e-05
PB306	419	190	18338	deletions	102	1.46374224360115e-05
PB306	419	190	18338	insertions	50	7.17520707647623e-06
PB306	419	190	18338	substitutions	581	8.33759062286538e-05
PB306	420	237	17989	deletions	130	1.52460727875661e-05
PB306	420	237	17989	insertions	86	1.00858635363899e-05
PB306	420	237	17989	substitutions	523	6.13361235992084e-05
PB306	421	232	17919	deletions	86	1.03434805282776e-05
PB306	421	232	17919	insertions	75	9.02047720489328e-06
PB306	421	232	17919	substitutions	411	4.94322150828152e-05
PB306	423	228	16266	deletions	134	1.80658827691385e-05
PB306	423	228	16266	insertions	191	2.57506239470556e-05
PB306	423	228	16266	substitutions	408	5.50065684314068e-05
PB306	424	239	17041	deletions	57	6.99764461737493e-06
PB306	424	239	17041	insertions	76	9.33019282316657e-06
PB306	424	239	17041	substitutions	402	4.93518094067495e-05
PB306	425	222	16702	deletions	322	4.34214600182748e-05
PB306	425	222	16702	insertions	380	5.12427167917528e-05
PB306	425	222	16702	substitutions	415	5.59624407067827e-05
PB306	426	228	17787	deletions	144	1.77539480341941e-05
PB306	426	228	17787	insertions	142	1.75073654226081e-05
PB306	426	228	17787	substitutions	513	6.32484398718165e-05
PB306	428	234	17594	deletions	151	1.83386138825493e-05
PB306	428	234	17594	insertions	129	1.56667628533037e-05
PB306	428	234	17594	substitutions	504	6.12096781245355e-05
PB306	429	224	18074	deletions	96	1.18560204872034e-05
PB306	429	224	18074	insertions	72	8.89201536540255e-06
PB306	429	224	18074	substitutions	561	6.92836197220949e-05
PB306	430	212	17836	deletions	160	2.11571255082999e-05
PB306	430	212	17836	insertions	133	1.75868605787743e-05
PB306	430	212	17836	substitutions	526	6.95540501085361e-05
PB306	432	228	18197	deletions	116	1.39795551416322e-05
PB306	432	228	18197	insertions	73	8.7974786667168e-06
PB306	432	228	18197	substitutions	608	7.32721510871755e-05
PB306	435	236	17878	deletions	118	1.39836670768542e-05
PB306	435	236	17878	insertions	82	9.71746356188176e-06
PB306	435	236	17878	substitutions	534	6.32820188054251e-05
PB306	436	225	17757	deletions	117	1.46421129695331e-05
PB306	436	225	17757	insertions	81	1.0136847440446e-05
PB306	436	225	17757	substitutions	548	6.85801530538817e-05
PB306	437	228	17460	deletions	191	2.39896706255903e-05
PB306	437	228	17460	insertions	180	2.26080665581479e-05
PB306	437	228	17460	substitutions	464	5.82785715721147e-05
PB306	440	213	17358	deletions	217	2.934610389224e-05
PB306	440	213	17358	insertions	282	3.81364115097313e-05
PB306	440	213	17358	substitutions	487	6.58596893802806e-05
PB306	442	228	17643	deletions	80	9.94380754357128e-06
PB306	442	228	17643	insertions	70	8.70083160062487e-06
PB306	442	228	17643	substitutions	398	4.94704425292671e-05
PB306	443	226	17898	deletions	153	1.89124804571035e-05
PB306	443	226	17898	insertions	99	1.22374873545964e-05
PB306	443	226	17898	substitutions	534	6.60082651247927e-05
PB306	445	232	18177	deletions	73	8.65531089876748e-06
PB306	445	232	18177	insertions	43	5.09833381708222e-06
PB306	445	232	18177	substitutions	343	4.06681046339349e-05
PB306	448	235	18130	deletions	82	9.62317071739564e-06
PB306	448	235	18130	insertions	53	6.21985424417035e-06
PB306	448	235	18130	substitutions	370	4.34216239687364e-05
PB306	449	221	17352	deletions	163	2.12527824194898e-05
PB306	449	221	17352	insertions	176	2.29477896063202e-05
PB306	449	221	17352	substitutions	505	6.5844509949953e-05
PB306	450	220	17983	deletions	115	1.45339285082376e-05
PB306	450	220	17983	insertions	87	1.09952328714493e-05
PB306	450	220	17983	substitutions	568	7.17849686319908e-05
PB306	451	226	18147	deletions	86	1.04846799319812e-05
PB306	451	226	18147	insertions	61	7.43680785873089e-06
PB306	451	226	18147	substitutions	419	5.10823359476761e-05
PB306	455	223	17747	deletions	157	1.98353489164214e-05
PB306	455	223	17747	insertions	132	1.66768538660358e-05
PB306	455	223	17747	substitutions	506	6.39279398198041e-05
PB306	456	233	17530	deletions	138	1.68931739335878e-05
PB306	456	233	17530	insertions	114	1.39552306407899e-05
PB306	456	233	17530	substitutions	509	6.23088806680883e-05
PB306	457	226	17714	deletions	128	1.59865553069868e-05
PB306	457	226	17714	insertions	110	1.37384459669418e-05
PB306	457	226	17714	substitutions	505	6.30719564845964e-05
PB306	458	234	17866	deletions	106	1.26774726573227e-05
PB306	458	234	17866	insertions	61	7.29552671789322e-06
PB306	458	234	17866	substitutions	559	6.68557284475789e-05
PB306	459	235	18309	deletions	86	9.99392230074036e-06
PB306	459	235	18309	insertions	60	6.97250393074909e-06
PB306	459	235	18309	substitutions	362	4.20674403821862e-05
PB306	461	230	17828	deletions	121	1.4754514149701e-05
PB306	461	230	17828	insertions	70	8.53566934280224e-06
PB306	461	230	17828	substitutions	544	6.63343446069202e-05
PB306	462	228	18162	deletions	107	1.2919784319294e-05
PB306	462	228	18162	insertions	59	7.12399322278828e-06
PB306	462	228	18162	substitutions	561	6.77383084404106e-05
PB306	463	230	17347	deletions	71	8.89766680618877e-06
PB306	463	230	17347	insertions	63	7.89511279985764e-06
PB306	463	230	17347	substitutions	446	5.58923858529604e-05
PB306	466	239	17899	deletions	120	1.40257011623332e-05
PB306	466	239	17899	insertions	98	1.14543226159055e-05
PB306	466	239	17899	substitutions	553	6.46351061897523e-05
PB306	468	233	17766	deletions	174	2.10171427411862e-05
PB306	468	233	17766	insertions	158	1.90845319144105e-05
PB306	468	233	17766	substitutions	523	6.31722164002321e-05
PB306	469	233	17626	deletions	79	9.61805837942291e-06
PB306	469	233	17626	insertions	60	7.30485446538449e-06
PB306	469	233	17626	substitutions	416	5.06469909599991e-05
PB306	470	209	18068	deletions	106	1.40352289543066e-05
PB306	470	209	18068	insertions	62	8.20928486006612e-06
PB306	470	209	18068	substitutions	571	7.56048654048025e-05
PB306	471	213	19423	deletions	95	1.14814753043135e-05
PB306	471	213	19423	insertions	45	5.43859356520112e-06
PB306	471	213	19423	substitutions	765	9.24560906084191e-05
PB306	472	224	17294	deletions	67	8.6477143187563e-06
PB306	472	224	17294	insertions	63	8.13143286689025e-06
PB306	472	224	17294	substitutions	426	5.49839746237341e-05
PB306	474	214	17863	deletions	136	1.7788557876381e-05
PB306	474	214	17863	insertions	155	2.02737240502872e-05
PB306	474	214	17863	substitutions	532	6.95846528693729e-05
PB306	475	231	17770	deletions	121	1.47385909907013e-05
PB306	475	231	17770	insertions	107	1.3033299471116e-05
PB306	475	231	17770	substitutions	550	6.69935954122786e-05
PB306	476	241	18515	deletions	83	9.30052228595632e-06
PB306	476	241	18515	insertions	38	4.25807044417277e-06
PB306	476	241	18515	substitutions	631	7.07063802703427e-05
PB306	477	216	17864	deletions	108	1.39946260635916e-05
PB306	477	216	17864	insertions	73	9.45933058002024e-06
PB306	477	216	17864	substitutions	561	7.26943076081007e-05
PB306	479	234	17921	deletions	92	1.09693207176607e-05
PB306	479	234	17921	insertions	74	8.82314927290096e-06
PB306	479	234	17921	substitutions	429	5.11504194334394e-05
PB306	480	222	17491	deletions	125	1.60957939243915e-05
PB306	480	222	17491	insertions	106	1.3649233247884e-05
PB306	480	222	17491	substitutions	503	6.47694747517514e-05
PB306	481	220	17797	deletions	209	2.66898915547564e-05
PB306	481	220	17797	insertions	58	7.40676416352092e-06
PB306	481	220	17797	substitutions	496	6.33406038811444e-05
PB306	482	226	17800	deletions	116	1.4417818434921e-05
PB306	482	226	17800	insertions	107	1.32991945908323e-05
PB306	482	226	17800	substitutions	541	6.72417221835537e-05
PB306	483	232	17667	deletions	135	1.64684596061623e-05
PB306	483	232	17667	insertions	114	1.39066992229815e-05
PB306	483	232	17667	substitutions	524	6.39220209898447e-05
PB306	484	233	17792	deletions	141	1.70062447895761e-05
PB306	484	233	17792	insertions	110	1.32672831691728e-05
PB306	484	233	17792	substitutions	521	6.28386775558094e-05
PB306	486	229	18727	deletions	89	1.03766296846694e-05
PB306	486	229	18727	insertions	38	4.43047110131951e-06
PB306	486	229	18727	substitutions	670	7.81162009969493e-05
PB306	487	227	18175	deletions	83	1.0058838143599e-05
PB306	487	227	18175	insertions	64	7.75621254446188e-06
PB306	487	227	18175	substitutions	433	5.24756254961249e-05
PB306	488	222	17442	deletions	142	1.83361896468192e-05
PB306	488	222	17442	insertions	147	1.8981830127341e-05
PB306	488	222	17442	substitutions	477	6.15941018417799e-05
PB306	489	237	18080	deletions	111	1.29522796012098e-05
PB306	489	237	18080	insertions	79	9.21828908554572e-06
PB306	489	237	18080	substitutions	567	6.61616444494231e-05
PB306	490	232	15716	deletions	156	2.13926505823189e-05
PB306	490	232	15716	insertions	175	2.39981657173449e-05
PB306	490	232	15716	substitutions	379	5.19731703249928e-05
PB306	492	234	17912	deletions	147	1.75358733866996e-05
PB306	492	234	17912	insertions	102	1.21677488805671e-05
PB306	492	234	17912	substitutions	519	6.1912369304062e-05
PB306	495	229	17773	deletions	124	1.52333516051653e-05
PB306	495	229	17773	insertions	122	1.49876523857271e-05
PB306	495	229	17773	substitutions	520	6.38817970539189e-05
PB306	496	228	17608	deletions	105	1.30771897941127e-05
PB306	496	228	17608	insertions	84	1.04617518352902e-05
PB306	496	228	17608	substitutions	412	5.13124018588042e-05
PB306	497	231	17930	deletions	128	1.54521069189223e-05
PB306	497	231	17930	insertions	100	1.20719585304081e-05
PB306	497	231	17930	substitutions	560	6.76029677702851e-05
PB306	498	219	17971	deletions	123	1.56263935122263e-05
PB306	498	219	17971	insertions	102	1.29584726686755e-05
PB306	498	219	17971	substitutions	551	7.00011611807862e-05
PB306	500	227	18405	deletions	104	1.24463401177855e-05
PB306	500	227	18405	insertions	59	7.06090448989752e-06
PB306	500	227	18405	substitutions	604	7.22845137609848e-05
mev-1	704	119	20887	deletions	272	5.47161939415494e-05
mev-1	704	119	20887	insertions	365	7.34243043700939e-05
mev-1	704	119	20887	substitutions	37	7.44301167587253e-06
mev-1	706	120	22270	deletions	63	1.17871576111361e-05
mev-1	706	120	22270	insertions	81	1.51549169286035e-05
mev-1	706	120	22270	substitutions	7	1.30968417901512e-06
mev-1	711	117	21519	deletions	196	3.89240595569886e-05
mev-1	711	117	21519	insertions	251	4.9846627289817e-05
mev-1	711	117	21519	substitutions	27	5.36198779611578e-06
mev-1	712	123	21888	deletions	158	2.93437693148861e-05
mev-1	712	123	21888	insertions	208	3.86297722626349e-05
mev-1	712	123	21888	substitutions	21	3.90012123805449e-06
mev-1	715	120	21336	deletions	182	3.55424321959755e-05
mev-1	715	120	21336	insertions	265	5.17513435820522e-05
mev-1	715	120	21336	substitutions	32	6.24921884764404e-06
mev-1	721	123	20836	deletions	318	6.20408392603795e-05
mev-1	721	123	20836	insertions	434	8.46720888019017e-05
mev-1	721	123	20836	substitutions	60	1.17058187283735e-05
mev-1	727	116	22240	deletions	79	1.53110270404366e-05
mev-1	727	116	22240	insertions	97	1.87996154800298e-05
mev-1	727	116	22240	substitutions	11	2.13191515752915e-06
mev-1	729	124	21780	deletions	115	2.12906187979502e-05
mev-1	729	124	21780	insertions	164	3.03622737640333e-05
mev-1	729	124	21780	substitutions	20	3.70271631268699e-06
mev-1	730	117	21925	deletions	96	1.87118089056516e-05
mev-1	730	117	21925	insertions	105	2.04660409905564e-05
mev-1	730	117	21925	substitutions	8	1.5593174088043e-06
mev-1	733	121	21164	deletions	247	4.82262878957094e-05
mev-1	733	121	21164	insertions	387	7.55610259742491e-05
mev-1	733	121	21164	substitutions	31	6.05269200310523e-06
mev-1	737	107	22249	deletions	62	1.30216920386635e-05
mev-1	737	107	22249	insertions	84	1.76422924394796e-05
mev-1	737	107	22249	substitutions	11	2.31030020040804e-06
mev-1	738	123	22203	deletions	74	1.35483046493754e-05
mev-1	738	123	22203	insertions	108	1.97732013801695e-05
mev-1	738	123	22203	substitutions	7	1.28159638575172e-06
mev-1	744	121	21989	deletions	53	9.95990106247714e-06
mev-1	744	121	21989	insertions	73	1.37183542936006e-05
mev-1	744	121	21989	substitutions	5	9.39613307780863e-07
mev-1	746	117	20587	deletions	279	5.79155628458587e-05
mev-1	746	117	20587	insertions	350	7.26539318854858e-05
mev-1	746	117	20587	substitutions	31	6.43506253842874e-06
mev-1	748	119	21652	deletions	163	3.16309786430737e-05
mev-1	748	119	21652	insertions	174	3.37655845637719e-05
mev-1	748	119	21652	substitutions	21	4.07515675769661e-06
mev-1	749	120	19668	deletions	547	0.000115881974103451
mev-1	749	120	19668	insertions	682	0.0001444817300522
mev-1	749	120	19668	substitutions	95	2.01257541861569e-05
mev-1	752	112	23785	deletions	28	5.25541307546773e-06
mev-1	752	112	23785	insertions	26	4.88002642722004e-06
mev-1	752	112	23785	substitutions	8	1.50154659299078e-06
mev-1	753	120	20072	deletions	445	9.23757805234489e-05
mev-1	753	120	20072	insertions	546	0.000113341968911917
mev-1	753	120	20072	substitutions	88	1.82675700810416e-05
mev-1	759	118	21730	deletions	138	2.69096071197361e-05
mev-1	759	118	21730	insertions	206	4.01694135265625e-05
mev-1	759	118	21730	substitutions	22	4.28993736691444e-06
mev-1	761	121	20107	deletions	448	9.20694121162524e-05
mev-1	761	121	20107	insertions	442	9.08363396325526e-05
mev-1	761	121	20107	substitutions	81	1.66464785299474e-05
mev-1	767	119	22031	deletions	110	2.09788422654251e-05
mev-1	767	119	22031	insertions	150	2.86075121801251e-05
mev-1	767	119	22031	substitutions	11	2.09788422654251e-06
mev-1	769	110	21186	deletions	133	2.85351389854364e-05
mev-1	769	110	21186	insertions	221	4.74155316976048e-05
mev-1	769	110	21186	substitutions	12	2.57459900620478e-06
mev-1	770	123	22321	deletions	66	1.20197429741871e-05
mev-1	770	123	22321	insertions	81	1.47515027410477e-05
mev-1	770	123	22321	substitutions	4	7.28469271162852e-07
